0010,A000,Cholera due to Vibrio cholerae 01
0011,A001,Cholera due to Vibrio cholerae 01
0019,A009,Cholera
0020,A0100,Typhoid fever
0021,A011,Paratyphoid fever A
0022,A012,Paratyphoid fever B
0023,A013,Paratyphoid fever C
0029,A014,Paratyphoid fever
0030,A020,Salmonella enteritis
0031,A021,Salmonella sepsis
00320,A0220,Localized salmonella infection
00321,A0221,Salmonella meningitis
00322,A0222,Salmonella pneumonia
00323,A0223,Salmonella arthritis
00324,A0224,Salmonella osteomyelitis
00329,A0229,Salmonella with other localized infection
0038,A028,Other specified salmonella infections
0039,A029,Salmonella infection
0040,A030,Shigellosis due to Shigella dysenteriae
0041,A031,Shigellosis due to Shigella flexneri
0042,A032,Shigellosis due to Shigella boydii
0043,A033,Shigellosis due to Shigella sonnei
0048,A038,Other shigellosis
0049,A039,Shigellosis
0050,A050,Foodborne staphylococcal intoxication
0051,A051,Botulism food poisoning
0052,A052,Foodborne Clostridium perfringens [Clostridium welchii] intoxication
0053,A058,Other specified bacterial foodborne intoxications
0054,A053,Foodborne Vibrio parahaemolyticus intoxication
00581,A055,Foodborne Vibrio vulnificus intoxication
00589,A054,Foodborne Bacillus cereus intoxication
0059,A059,Bacterial foodborne intoxication
0060,A060,Acute amebic dysentery
0061,A061,Chronic intestinal amebiasis
0062,A062,Amebic nondysenteric colitis
0063,A064,Amebic liver abscess
0064,A065,Amebic lung abscess
0065,A066,Amebic brain abscess
0066,A067,Cutaneous amebiasis
0068,A0689,Other amebic infections
0069,A069,Amebiasis
0070,A070,Balantidiasis
0071,A071,Giardiasis [lambliasis]
0072,A073,Isosporiasis
0073,A078,Other specified protozoal intestinal diseases
0074,A072,Cryptosporidiosis
0075,A074,Cyclosporiasis
0078,A078,Other specified protozoal intestinal diseases
0079,A079,Protozoal intestinal disease
00800,A044,Other intestinal Escherichia coli infections
00801,A040,Enteropathogenic Escherichia coli infection
00802,A041,Enterotoxigenic Escherichia coli infection
00803,A042,Enteroinvasive Escherichia coli infection
00804,A043,Enterohemorrhagic Escherichia coli infection
00809,A044,Other intestinal Escherichia coli infections
0081,A048,Other specified bacterial intestinal infections
0082,A048,Other specified bacterial intestinal infections
0083,A048,Other specified bacterial intestinal infections
00841,A048,Other specified bacterial intestinal infections
00842,A048,Other specified bacterial intestinal infections
00843,A045,Campylobacter enteritis
00844,A046,Enteritis due to Yersinia enterocolitica
00845,A047,Enterocolitis due to Clostridium difficile
00846,A048,Other specified bacterial intestinal infections
00847,A048,Other specified bacterial intestinal infections
00849,A048,Other specified bacterial intestinal infections
0085,A049,Bacterial intestinal infection
00861,A080,Rotaviral enteritis
00862,A082,Adenoviral enteritis
00863,A0811,Acute gastroenteropathy due to Norwalk agent
00864,A0819,Acute gastroenteropathy due to other small round viruses
00865,A0831,Calicivirus enteritis
00866,A0832,Astrovirus enteritis
00867,A0839,Other viral enteritis
00869,A0839,Other viral enteritis
0088,A088,Other specified intestinal infections
0090,A09,Infectious gastroenteritis and colitis
0091,A09,Infectious gastroenteritis and colitis
0092,A09,Infectious gastroenteritis and colitis
0093,A09,Infectious gastroenteritis and colitis
01000,A157,Primary respiratory tuberculosis
01001,A157,Primary respiratory tuberculosis
01002,A157,Primary respiratory tuberculosis
01003,A157,Primary respiratory tuberculosis
01004,A157,Primary respiratory tuberculosis
01005,A157,Primary respiratory tuberculosis
01006,A157,Primary respiratory tuberculosis
01010,A156,Tuberculous pleurisy
01011,A156,Tuberculous pleurisy
01012,A156,Tuberculous pleurisy
01013,A156,Tuberculous pleurisy
01014,A156,Tuberculous pleurisy
01015,A156,Tuberculous pleurisy
01016,A156,Tuberculous pleurisy
01080,A157,Primary respiratory tuberculosis
01081,A157,Primary respiratory tuberculosis
01082,A157,Primary respiratory tuberculosis
01083,A157,Primary respiratory tuberculosis
01084,A157,Primary respiratory tuberculosis
01085,A157,Primary respiratory tuberculosis
01086,A157,Primary respiratory tuberculosis
01090,A157,Primary respiratory tuberculosis
01091,A157,Primary respiratory tuberculosis
01092,A157,Primary respiratory tuberculosis
01093,A157,Primary respiratory tuberculosis
01094,A157,Primary respiratory tuberculosis
01095,A157,Primary respiratory tuberculosis
01096,A157,Primary respiratory tuberculosis
01100,A150,Tuberculosis of lung
01101,A150,Tuberculosis of lung
01102,A150,Tuberculosis of lung
01103,A150,Tuberculosis of lung
01104,A150,Tuberculosis of lung
01105,A150,Tuberculosis of lung
01106,A150,Tuberculosis of lung
01110,A150,Tuberculosis of lung
01111,A150,Tuberculosis of lung
01112,A150,Tuberculosis of lung
01113,A150,Tuberculosis of lung
01114,A150,Tuberculosis of lung
01115,A150,Tuberculosis of lung
01116,A150,Tuberculosis of lung
01120,A150,Tuberculosis of lung
01121,A150,Tuberculosis of lung
01122,A150,Tuberculosis of lung
01123,A150,Tuberculosis of lung
01124,A150,Tuberculosis of lung
01125,A150,Tuberculosis of lung
01126,A150,Tuberculosis of lung
01130,A155,Tuberculosis of larynx
01131,A155,Tuberculosis of larynx
01132,A155,Tuberculosis of larynx
